Longitude,Latitude,Datetime
-84.335825,30.453959,2024/04/25 01:27:51+00
-84.335824,30.453959,2024/04/25 01:27:52+00
-84.335749,30.453866,2024/04/25 01:28:09+00
-84.335732,30.453759,2024/04/25 01:28:12+00
-84.335634,30.453681,2024/04/25 01:28:15+00
-84.335496,30.453624,2024/04/25 01:28:18+00
-84.335356,30.453559,2024/04/25 01:28:21+00
-84.335257,30.453511,2024/04/25 01:28:23+00
-84.335135,30.453447,2024/04/25 01:28:26+00
-84.335014,30.453468,2024/04/25 01:28:30+00
-84.334942,30.453579,2024/04/25 01:28:33+00
-84.334878,30.453689,2024/04/25 01:28:36+00
-84.334827,30.453795,2024/04/25 01:28:39+00
-84.3348,30.453884,2024/04/25 01:28:41+00
-84.334778,30.454011,2024/04/25 01:28:44+00
-84.334803,30.454113,2024/04/25 01:28:47+00
-84.334907,30.454152,2024/04/25 01:28:50+00
-84.335023,30.454168,2024/04/25 01:28:53+00
-84.335114,30.454116,2024/04/25 01:28:56+00
-84.335096,30.454004,2024/04/25 01:28:59+00
-84.335046,30.453901,2024/04/25 01:29:02+00
-84.334962,30.453816,2024/04/25 01:29:05+00
-84.334893,30.453747,2024/04/25 01:29:08+00
-84.334922,30.45365,2024/04/25 01:29:11+00
-84.335045,30.453645,2024/04/25 01:29:14+00
-84.335139,30.453724,2024/04/25 01:29:17+00
-84.335215,30.453818,2024/04/25 01:29:20+00
-84.335272,30.453923,2024/04/25 01:29:23+00
-84.335297,30.454037,2024/04/25 01:29:26+00
-84.335304,30.454146,2024/04/25 01:29:30+00
-84.335397,30.4542,2024/04/25 01:29:33+00
-84.335519,30.454168,2024/04/25 01:29:36+00
-84.33552,30.454046,2024/04/25 01:29:39+00
-84.335498,30.453954,2024/04/25 01:29:41+00
-84.335479,30.453864,2024/04/25 01:29:43+00
-84.33549,30.453749,2024/04/25 01:29:46+00
-84.335597,30.453701,2024/04/25 01:29:50+00
-84.335703,30.453774,2024/04/25 01:29:53+00
-84.335734,30.453865,2024/04/25 01:29:57+00
-84.335723,30.453976,2024/04/25 01:30:00+00
-84.335719,30.454077,2024/04/25 01:30:03+00
-84.335687,30.454164,2024/04/25 01:30:06+00
-84.33557,30.454192,2024/04/25 01:30:09+00
-84.335524,30.454076,2024/04/25 01:30:13+00
-84.335517,30.453965,2024/04/25 01:30:16+00
-84.335443,30.453933,2024/04/25 01:30:22+00
