Longitude,Latitude,Datetime
-84.33580435,30.45391563,2024/04/25 01:27:52+00
-84.33580206,30.45391722,2024/04/25 01:27:53+00
-84.33580071,30.45391724,2024/04/25 01:27:54+00
-84.33579384,30.45391747,2024/04/25 01:27:55+00
-84.33578584,30.45392001,2024/04/25 01:27:56+00
-84.33577627,30.45392008,2024/04/25 01:27:57+00
-84.33576532,30.45391895,2024/04/25 01:27:58+00
-84.33575234,30.45391663,2024/04/25 01:27:59+00
-84.33573816,30.45391447,2024/04/25 01:28:00+00
-84.33572321,30.45391073,2024/04/25 01:28:01+00
-84.33571672,30.45390944,2024/04/25 01:28:02+00
-84.33572018,30.45391215,2024/04/25 01:28:03+00
-84.33571745,30.45391303,2024/04/25 01:28:04+00
-84.33571556,30.45390726,2024/04/25 01:28:05+00
-84.33571401,30.45389035,2024/04/25 01:28:06+00
-84.3357102,30.45386904,2024/04/25 01:28:07+00
-84.33570753,30.45384186,2024/04/25 01:28:08+00
-84.33570619,30.45381022,2024/04/25 01:28:09+00
-84.33570675,30.45378058,2024/04/25 01:28:10+00
-84.33570375,30.45376138,2024/04/25 01:28:11+00
-84.33569552,30.45374382,2024/04/25 01:28:12+00
-84.33568566,30.45373085,2024/04/25 01:28:13+00
-84.3356562,30.45371076,2024/04/25 01:28:14+00
-84.33561707,30.45369344,2024/04/25 01:28:15+00
-84.33557093,30.45367913,2024/04/25 01:28:16+00
-84.33551564,30.45366634,2024/04/25 01:28:17+00
-84.33545898,30.45365281,2024/04/25 01:28:18+00
-84.33537983,30.45364953,2024/04/25 01:28:19+00
-84.33533713,30.45362598,2024/04/25 01:28:20+00
-84.3352849,30.45360332,2024/04/25 01:28:21+00
-84.33523347,30.45358049,2024/04/25 01:28:22+00
-84.33518234,30.45355991,2024/04/25 01:28:23+00
-84.3351328,30.45354467,2024/04/25 01:28:24+00
-84.33507785,30.45352937,2024/04/25 01:28:25+00
-84.33504814,30.45350564,2024/04/25 01:28:26+00
-84.33502404,30.45349198,2024/04/25 01:28:27+00
-84.33500236,30.45348959,2024/04/25 01:28:28+00
-84.33499019,30.45349204,2024/04/25 01:28:29+00
-84.33496948,30.45349646,2024/04/25 01:28:30+00
-84.33495277,30.45350834,2024/04/25 01:28:31+00
-84.33494245,30.45353333,2024/04/25 01:28:32+00
-84.33491943,30.45356867,2024/04/25 01:28:33+00
-84.33489952,30.45359902,2024/04/25 01:28:34+00
-84.33487737,30.45362906,2024/04/25 01:28:35+00
-84.33485884,30.45365309,2024/04/25 01:28:36+00
-84.33484192,30.45367591,2024/04/25 01:28:37+00
-84.33482315,30.45370562,2024/04/25 01:28:38+00
-84.33480412,30.45374329,2024/04/25 01:28:39+00
-84.3347953,30.45378096,2024/04/25 01:28:40+00
-84.3347935,30.45381949,2024/04/25 01:28:41+00
-84.33479229,30.45385942,2024/04/25 01:28:42+00
-84.33478473,30.45389972,2024/04/25 01:28:43+00
-84.33477564,30.45393944,2024/04/25 01:28:44+00
-84.3347708,30.45397725,2024/04/25 01:28:45+00
-84.3347699,30.4540171,2024/04/25 01:28:46+00
-84.33477579,30.45405277,2024/04/25 01:28:47+00
-84.33479519,30.45408286,2024/04/25 01:28:48+00
-84.33481258,30.45409706,2024/04/25 01:28:49+00
-84.33482891,30.45410371,2024/04/25 01:28:50+00
-84.33485243,30.45410779,2024/04/25 01:28:51+00
-84.33489208,30.45411646,2024/04/25 01:28:52+00
-84.33493204,30.45412254,2024/04/25 01:28:53+00
-84.33497052,30.45411753,2024/04/25 01:28:54+00
